semester,level,name,url
Fall,Graduate,Computer Architecture of Modern System-on-Chip,https://modern-soc.tianyuj.com
Fall,Undergraduate,Full-Stack Design and Practice of Advanced Chips (1),https://full-stack-ai-chip.tianyuj.com
Fall,Undergraduate,Principle and Design of Integrated Circuit
Spring,Undergraduate,Digital Logic Circuit
Spring,Undergraduate,Full-Stack Design and Practice of Advanced Chips (2)
