year,venue,type,award,authors,title,journal,date,link
2024,DAC,conference,,"Zhiyuan Chen, Yufei Ma, Keyi Li, Yifan Jia, Guoxiang Li, Meng Wu, Tianyu Jia, Le Ye, Ru Huang",An In-Memory Computing Accelerator with Reconfigurable Dataflow for Multi-Scale Vision Transformer with Hybrid Topology,IEEE Design Automation Conference (DAC),Jun. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:GnPB-g6toBAC
2024,ISCA,conference,Micro Top Picks,"Martin Cochet, Karthik Swaminathan, Erik Jens Loscalzo, Joseph Zuckerman, Maico Cassel dos Santos, Davide Giri, Alper Buyuktosunoglu, Tianyu Jia, David Brooks, Gu-Yeon Wei, Kenneth Shepard, Luca P. Carloni, and Pradip Bose",BlitzCoin: Fully Decentralized Hardware Power Management for Accelerator-Rich SoCs,International Symposium on Computer Architecture (ISCA),Jul. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:k_IJM867U9cC
2024,CICC,conference,,"Meng Wu, Wenjie Ren, Peiyu Chen, Wentao Zhao, Yiqi Jing, Jiayoon Ru, Zhixuan Wang, Yufei Ma, Ru Huang, Tianyu Jia*, Le Ye*",S2D-CIM: A 22nm 128Kb Systolic Digital Compute-in-Memory Macro with Domino Data Path for Flexible Vector Operation and 2-D Weight Update in Edge AI Applications,IEEE Custom Integrated Circuit Conference (CICC),Apr. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:TFP_iSt0sucC
2024,CICC,conference,,"Yikan Qiu, Yufei Ma, Meng Wu, Yifan Jia, Xinyu Qu, Zecheng Zhou, Jincheng Lou, Tianyu Jia, Le Ye, Ru Huang",Quartet: A 22nm 0.09mJ/Inference Digital Compute-in-Memory Versatile AI Accelerator with Heterogeneous Tensor Engines and Off-Chip-Less Dataflow,IEEE Custom Integrated Circuit Conference (CICC),Apr. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:bEWYMUwI8FkC
2024,ISSCC,conference,,"Ying Liu, Yufei Ma, Ninghui Shang, Tianhao Zhao, Peiyu Chen, Meng Wu, Jiayoon Ru, Tianyu Jia, Le Ye, Zhixuan Wang, Ru Huang",30.2 A 22nm 0.26nW/Synapse Spike-Driven Spiking Neural Network Processing Unit Using Time-Step-First Dataflow and Sparsity-Adaptive In-Memory Computing,IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:RHpTSmoSYBkC
2024,ISSCC,conference,,"Maico Cassel dos Santos†, Tianyu Jia†, Joseph Zuckerman†, Martin Cochet†, Davide Giri, Erik Jens Loscalzo, et al.","14.5 A 12nm Linux-SMP-capable RISC-V SoC with 14 accelerator types, distributed hardware power management and flexible NoC-based data orchestration",IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:R3hNpaxXUhUC
2024,SSC-L,journal,,"Peiyu Chen, Meng Wu, Wentan Zhao, Yufei Ma, Tianyu Jia*, Le Ye",A 44.3 TOPS/W SRAM Compute-in-Memory with Near-CIM Analog Memory and Activation for DAC/ADC-less Operations,IEEE Solid-State Circuits Letters (SSC-L),2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:M3NEmzRMIkIC
2024,SSC-L,journal,,"Meng Wu, Wenjie Ren, Peiyu Chen, Wentan Zhao, Tianyu Jia*, Le Ye*",S2D-CIM: SRAM-based Systolic Digital Compute-in-Memory Framework with Domino Data Path Supporting Flexible Vector Operation and 2-D Weight Update,IEEE Solid-State Circuits Letters (SSC-L) (CICC invited),2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:TFP_iSt0sucC
2024,TCAS-I,journal,,"Yufei Ma, Yikan Qiu, Wentao Zhao, Guoxiang Li, Meng Wu, Tianyu Jia, Le Ye, Ru Huang",DCIM-GCN: Digital Computing-in-Memory Accelerator for Graph Convolutional Network,IEEE Transactions on Circuits and Systems I: Regular Papers,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:j3f4tGmQtD8C
2024,TCAS-I,journal,,"Ying Liu, Zhiyuan Chen, Wentao Zhao, Tianhao Zhao, Tianyu Jia, Zhixuan Wang, Ru Huang, Le Ye, Yufei Ma",Sparsity-Aware In-Memory Neuromorphic Computing Unit with Configurable Topology of Hybrid Spiking and Artificial Neural Network,IEEE Transactions on Circuits and Systems I: Regular Papers,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:4JMBOYKVnBMC
2024,TCAD,journal,,"Yu-Shun Hsiao, Zishen Wan, Tianyu Jia, Radhika Ghosal, Abdulrahman Mahmoud, Arijit Raychowdhury, David Brooks, Gu-Yeon Wei, Vijay Reddi",Silent Data Corruption in Robot Operating System: A Case for End-to-End System-Level Fault Analysis Using Autonomous UAVs,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems (TCAD),2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:mB3voiENLucC
2023,ICCAD,conference,,"Xiuping Cui, Size Zheng, Tianyu Jia, Le Ye, Yun Liang",ARES: A Mapping Framework of DNNs Towards Diverse PIMs with General Abstractions,IEEE International Conference on Computer Aided Design (ICCAD),Nov. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:hFOr9nPyWt4C
2023,ISLPED,conference,,"Yiqi Jing, Yiyang Sun, Xiao Wang, Wentao Zhao, Meng Wu, Fengyun Yan, Yufei Ma, Le Ye, Tianyu Jia*",DCIM-3DRec: A 3D Reconstruction Accelerator with Digital Computing-in-Memory and Octree-Based Scheduler,IEEE International Symposium on Low Power Electronics and Design (ISLPED),Aug. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:hC7cP41nSMkC
2023,DAC,conference,,"Yanchi Dong, Tianyu Jia*, Kaixuan Du, Yiqi Jing, Qijun Wang, Pixian Zhan, Yadong Zhang, Fengyun Yan, Yufei Ma, Yun Liang, Le Ye, Ru Huang",A Model-Specific End-to-End Design Methodology for Resource-Constrained TinyML Hardware,IEEE Design Automation Conference (DAC),Jun. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:qUcmZB5y_30C
2023,CICC,conference,,"Ying Liu, Zhiyuan Chen, Zhixuan Wang, Wentao Zhao, Wei He, Jianfeng Zhu, Qijun Wang, Ning Zhang, Tianyu Jia, Yufei Ma, Le Ye, Ru Huang",A 22nm 0.43pJ/SOP Sparsity-Aware In-Memory Neuromorphic Computing System with Hybrid Spiking and Artificial Neural Network and Configurable Topology,IEEE Custom Integrated Circuit Conference (CICC),Apr. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:ZeXyd9-uunAC
2023,CICC,conference,,"Xi Chen, Aly Shoukry, Tianyu Jia, Xin Zhang, Raveesh Magod, Nachiket V. Desai, Jie Gu",A 65nm Fully-integrated Fast-switching Buck Converter with Resonant Gate Drive and Automatic Tracking,IEEE Custom Integrated Circuit Conference (CICC),Apr. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:L8Ckcad2t8MC
2023,DATE,conference,,"Yu-Shun Hsiao, Zishen Wan, Tianyu Jia, Radhika Ghosal, Abdulrahman Mahmoud, Arijit Raychowdhury, David Brooks, Gu-Yeon Wei, Vijay Janapa Reddi",MAVFI: An End-to-End Fault Analysis Framework with Anomaly Detection and Recovery for Micro Aerial Vehicles,"Design, Automation and Test in Europe Conference (DATE)",Apr. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:UebtZRa9Y70C
2023,ISSCC,conference,,"Peiyu Chen, Meng Wu, Wentao Zhao, Jiajia Cui, Zhixuan Wang, Yadong Zhang, Qijun Wang, Jiayoon Ru, Linxiao Shen, Tianyu Jia, Yufei Ma, Le Ye, Ru Huang",7.8 A 22nm Delta-Sigma Computing-In-Memory (ΔΣCIM) SRAM Macro with Near-Zero-Mean Outputs and LSB-First ADCs Achieving 21.38TOPS/W for 8b-MAC Edge AI Processing,IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:7PzlFSSx8tAC
2023,ISSCC,conference,,"Thierry Tambe, Jeff Zhang, Coleman Hooper, Tianyu Jia, Paul N. Whatmough, Joseph Zuckerman, et al.","22.9 A 12nm 18.1TFLOPs/W Sparse Transformer Processor with Entropy-Based Early Exit, Mixed-Precision Predication and Fine-Grained Power Management",IEEE International Solid-State Circuits Conference (ISSCC),Feb. 2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:dhFuZR0502QC
2023,Design&Test,journal,NOCS Best Paper,"Gabriele Tombesi, Joseph Zuckerman, Paolo Mantovani, Davide Giri, Maico Cassel dos Santos, Tianyu Jia, David Brooks, Gu-Yeon Wei, Luca P. Carloni",SoCProbe: Compositional Post-Silicon Validation of Heterogeneous NoC-Based SoCs,IEEE Design & Test,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:IWHjjKOFINEC
2023,ACM TECS,journal,,"Georgios Zacharopoulos, Adel Ejjeh, Ying Jing, En-Yu Yang, Tianyu Jia, Iulian Brumar, Jeremy Intan, Muhammad Huzaifa, Sarita Adve, Vikram Adve, Gu-Yeon Wei, David Brooks",Trireme: Exploration of Hierarchical Multi-level Parallelism for Hardware Acceleration,ACM Transactions on Embedded Computing Systems,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:QIV2ME_5wuYC
2022,ICCAD,conference,,"Maico Cassel dos Santos†, Tianyu Jia†, Martin Cochet, Karthik Swaminathan, Joseph Zuckerman, Paolo Mantovani, Davide Giri, et al.",A Scalable Methodology for Agile Chip Development with Open-Source Hardware Components,IEEE International Conference on Computer Aided Design (ICCAD) (Invited Paper),Nov. 2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:mVmsd5A6BfQC
2022,ESSCIRC,conference,,"Tianyu Jia†, Paolo Mantovani†, Maico Cassel dos Santos†, Davide Giri, Joseph Zuckerman, Erik Jens Loscalzo, et al.","A 12nm Agile-Designed SoC for Swarm-Based Perception with Heterogeneous IP Blocks, a Reconfigurable Memory Hierarchy, and an 800MHz Multi-Plane NoC",European Solid-State Circuits Conference (ESSCIRC),Sep. 2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:Wp0gIr-vW9MC
2022,ESSCIRC,conference,,"Yuhao Ju, Shiyu Guo, Zixuan Liu, Tianyu Jia, Jie Gu",A Differentiable Neural Computer for Logic Reasoning with Scalable Near-Memory Computing and Sparsity Based Enhancement,European Solid-State Circuits Conference (ESSCIRC),Sep. 2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:4DMP91E08xMC
2022,DATE,conference,,"Tianyu Jia, En-Yu Yang, Yu-Shun Hsiao, Jonathan Cruz, David Brooks, Gu-Yeon Wei, Vijay Janapa Reddi",OMU: A Probabilistic 3D Occupancy Mapping Accelerator for Real-time OctoMap at the Edge,"Design, Automation and Test in Europe Conference (DATE)",Apr. 2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:aqlVkmm33-oC
2022,DATE,conference,,"Zishen Wan, Aqeel Anwar, Abdulrahman Mahmoud, Tianyu Jia, Yu-Shun Hsiao, Vijay Janapa Reddi, Arijit Raychowdhury",FRL-FI: Transient Fault Analysis for Federated Reinforcement Learning-Based Navigation Systems,"Design, Automation and Test in Europe Conference (DATE)",Apr. 2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:qxL8FJ1GzNcC
2021,MICRO,conference,,"Thierry Tambe, Coleman Hooper, Lillian Pentecost, Tianyu Jia, En-Yu Yang, Marco Donato, Victor Sanh, Paul N. Whatmough, Alexander M. Rush, David Brooks, Gu-Yeon Wei",EdgeBERT: Sentence-Level Energy Optimizations for Latency-Aware Multi-Task NLP Inference,IEEE International Symposium on Microarchitecture (MICRO),Nov. 2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:Zph67rFs4hoC
2021,DAC,conference,,"Zishen Wan, Aqeel Anwar, Yu-Shun Hsiao, Tianyu Jia, Vijay Janapa Reddi, Arijit Raychowdhury",Analyzing and Improving Fault Tolerance of Learning-Based Navigation Systems,IEEE Design Automation Conference (DAC),Jun. 2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:_kc_bZDykSQC
2021,ASAP,conference,,"En-Yu Yang, Tianyu Jia, David Brooks, Gu-Yeon Wei",FlexACC: A Programmable Accelerator with Application-Specific ISA for Flexible Deep Neural Network Inference,"IEEE 32nd International Conference on Application-specific Systems, Architectures and Processors (ASAP)",Jul. 2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:YOwf2qJgpHMC
2021,JSSC,journal,,"Tianyu Jia, Yuhao Ju, Jie Gu",A Dynamic Timing Enhanced DNN Accelerator With Compute-Adaptive Elastic Clock Chain Technique,IEEE Journal of Solid-State Circuits (JSSC),2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:u-x6o8ySG0sC
2020,MICRO,conference,,"Tianyu Jia, Yuhao Ju, Russ Joseph, Jie Gu",NCPU: An Embedded Neural CPU Architecture on Resource-Constrained Low Power Devices for Real-time End-to-End Performance,IEEE International Symposium on Microarchitecture (MICRO),Nov. 2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=x5IMx08AAAAJ&citation_for_view=x5IMx08AAAAJ:u5HHmVD_uO8C
